Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 59438)",0.8717606067657471,33.1
"('172.20.0.170', 59398)",0.8741168975830078,25.9
"('172.20.0.170', 59412)",1.1632630825042725,30.9
"('172.20.0.170', 59430)",0.8749570846557617,25.9
"('172.20.0.170', 59346)",1.789304256439209,27.6
"('172.20.0.170', 59384)",0.5843462944030762,26.1
"('172.20.0.170', 59374)",0.876948356628418,26.6
"('172.20.0.170', 59454)",1.201526403427124,27.2
"('172.20.0.170', 59354)",1.1773138046264648,26.7
"('172.20.0.170', 59428)",2.056969165802002,26.6
"('172.20.0.170', 59364)",1.786665678024292,30.0
"('172.20.0.170', 59380)",0.8770408630371094,32.7
"('172.20.0.170', 59366)",0.5847253799438477,33.5
"('172.20.0.170', 59460)",0.5880703926086426,10.5
"('172.20.0.170', 54940)",0.5814270973205566,18.8
"('172.20.0.170', 54968)",0.6142003536224365,0.0
"('172.20.0.170', 54988)",0.5846138000488281,19.2
"('172.20.0.170', 54948)",0.5813162326812744,0.0
"('172.20.0.170', 54986)",0.8762507438659668,27.6
"('172.20.0.170', 54956)",1.7868578433990479,28.7
"('172.20.0.170', 55018)",2.9598770141601562,26.3
"('172.20.0.170', 46786)",1.1713225841522217,26.6
"('172.20.0.170', 54936)",0.8819370269775391,27.6
"('172.20.0.170', 54958)",2.635172128677368,26.8
"('172.20.0.170', 54944)",2.6363351345062256,26.5
"('172.20.0.170', 55004)",2.6731998920440674,26.6
"('172.20.0.170', 54982)",0.5908706188201904,20.9
"('172.20.0.170', 46814)",0.5817508697509766,2.4
"('172.20.0.170', 46850)",0.8750162124633789,19.9
"('172.20.0.170', 46802)",0.8730740547180176,2.4
"('172.20.0.170', 46842)",2.056774616241455,26.5
"('172.20.0.170', 46886)",2.934042453765869,25.9
"('172.20.0.170', 46864)",2.981435775756836,26.4
"('172.20.0.170', 46824)",3.527719736099243,26.1
"('172.20.0.170', 46808)",2.9772889614105225,26.3
"('172.20.0.170', 46912)",2.3888466358184814,26.2
"('172.20.0.170', 46880)",1.4647645950317383,26.5
"('172.20.0.170', 46838)",0.5843570232391357,25.9
"('172.20.0.170', 46898)",1.4611172676086426,21.4
"('172.20.0.170', 37752)",1.1764185428619385,22.0
"('172.20.0.170', 37796)",0.6397473812103271,0.0
"('172.20.0.170', 37782)",0.8798022270202637,27.0
"('172.20.0.170', 37758)",0.8757085800170898,27.5
"('172.20.0.170', 37800)",1.7539100646972656,40.5
"('172.20.0.170', 37832)",1.1718878746032715,41.0
"('172.20.0.170', 37810)",3.541609287261963,41.0
"('172.20.0.170', 37824)",2.37554931640625,39.5
"('172.20.0.170', 37786)",0.9100253582000732,42.5
"('172.20.0.170', 37794)",5.296605348587036,41.0
"('172.20.0.170', 37804)",0.5851776599884033,41.0
"('172.20.0.170', 37774)",2.053067684173584,41.0
"('172.20.0.170', 37818)",1.4599757194519043,41.0
