Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.106', 44240)",1.761296033859253,25.9
"('172.20.0.106', 44252)",1.7609238624572754,25.4
"('172.20.0.106', 44256)",1.1717069149017334,26.1
"('172.20.0.106', 44340)",1.7712547779083252,27.3
"('172.20.0.106', 44266)",1.176959753036499,28.6
"('172.20.0.106', 44312)",4.107800245285034,30.5
"('172.20.0.106', 44282)",1.1737642288208008,26.3
"('172.20.0.106', 44350)",6.477623462677002,3.5
"('172.20.0.106', 44364)",2.357145071029663,14.5
"('172.20.0.106', 44298)",6.467984676361084,3.5
"('172.20.0.106', 44324)",1.181978702545166,3.5
"('172.20.0.106', 44268)",7.66087007522583,3.5
"('172.20.0.106', 44346)",2.9620156288146973,4.0
"('172.20.0.106', 44376)",1.1698558330535889,22.5
"('172.20.0.106', 59626)",1.763460636138916,19.6
"('172.20.0.106', 59654)",2.3534276485443115,17.3
"('172.20.0.106', 59614)",1.1708288192749023,28.9
"('172.20.0.106', 59596)",5.87042236328125,27.0
"('172.20.0.106', 44416)",4.702519178390503,27.4
"('172.20.0.106', 59664)",1.1756043434143066,28.6
"('172.20.0.106', 44402)",3.5212931632995605,22.5
"('172.20.0.106', 44390)",5.2828381061553955,11.5
"('172.20.0.106', 44412)",2.3462469577789307,2.5
"('172.20.0.106', 59600)",2.3540565967559814,2.8
"('172.20.0.106', 59640)",1.1712915897369385,2.8
