Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 41164)",0.0016145706176757812,53.8
"('172.20.0.170', 41178)",0.00017023086547851562,51.4
"('172.20.0.170', 41192)",0.00025534629821777344,50.0
"('172.20.0.170', 41196)",0.0013568401336669922,50.0
"('172.20.0.170', 41204)",0.00014066696166992188,51.4
"('172.20.0.170', 41200)",0.0004260540008544922,50.0
"('172.20.0.170', 41236)",0.0009036064147949219,52.6
"('172.20.0.170', 41210)",0.00044655799865722656,55.0
"('172.20.0.170', 41250)",0.00011420249938964844,54.1
"('172.20.0.170', 41220)",0.0010650157928466797,55.0
"('172.20.0.170', 41268)",0.00034308433532714844,56.8
"('172.20.0.170', 41252)",0.0002543926239013672,54.1
"('172.20.0.170', 41278)",0.0009233951568603516,57.9
"('172.20.0.170', 41286)",0.00022530555725097656,60.0
"('172.20.0.170', 41272)",0.0008575916290283203,58.5
"('172.20.0.170', 41316)",0.00012636184692382812,59.5
"('172.20.0.170', 41326)",5.984306335449219e-05,59.5
"('172.20.0.170', 41302)",0.0003285408020019531,58.5
"('172.20.0.170', 41366)",9.894371032714844e-05,60.0
"('172.20.0.170', 41336)",6.437301635742188e-05,60.0
"('172.20.0.170', 41332)",0.0010814666748046875,60.0
"('172.20.0.170', 41374)",7.05718994140625e-05,61.5
"('172.20.0.170', 41340)",0.0011682510375976562,60.5
"('172.20.0.170', 41350)",0.0004379749298095703,60.5
"('172.20.0.170', 41388)",0.00045228004455566406,62.2
"('172.20.0.170', 41428)",8.20159912109375e-05,60.5
"('172.20.0.170', 41384)",0.000888824462890625,61.9
"('172.20.0.170', 41394)",0.0006144046783447266,61.5
"('172.20.0.170', 41406)",0.0008637905120849609,60.5
"('172.20.0.170', 41436)",0.0007574558258056641,64.1
"('172.20.0.170', 41440)",7.152557373046875e-05,64.1
"('172.20.0.170', 41422)",0.00035762786865234375,62.5
"('172.20.0.170', 41452)",8.130073547363281e-05,64.1
"('172.20.0.170', 41466)",8.916854858398438e-05,64.9
"('172.20.0.170', 41458)",0.00010323524475097656,64.1
"('172.20.0.170', 41460)",0.0006389617919921875,67.5
"('172.20.0.170', 41494)",0.0021440982818603516,66.7
"('172.20.0.170', 41482)",0.0012712478637695312,70.0
"('172.20.0.170', 41502)",0.0012209415435791016,71.1
"('172.20.0.170', 41552)",0.00044083595275878906,69.2
"('172.20.0.170', 41516)",0.0006678104400634766,71.8
"('172.20.0.170', 41556)",0.0015845298767089844,70.0
"('172.20.0.170', 41528)",0.000507354736328125,72.5
"('172.20.0.170', 41520)",0.00012683868408203125,70.0
"('172.20.0.170', 41542)",7.963180541992188e-05,71.8
"('172.20.0.170', 41572)",7.367134094238281e-05,70.7
"('172.20.0.170', 41570)",8.7738037109375e-05,70.7
"('172.20.0.170', 41558)",8.678436279296875e-05,69.2
"('172.20.0.170', 41596)",9.059906005859375e-05,69.2
"('172.20.0.170', 41578)",0.0006694793701171875,68.2
"('172.20.0.170', 41580)",8.034706115722656e-05,68.4
"('172.20.0.170', 41606)",0.00012111663818359375,70.0
"('172.20.0.170', 41588)",0.004369497299194336,68.3
"('172.20.0.170', 41910)",8.535385131835938e-05,57.5
"('172.20.0.170', 41616)",0.0019474029541015625,70.0
"('172.20.0.170', 41652)",0.00032448768615722656,68.4
"('172.20.0.170', 41674)",0.0008771419525146484,68.4
"('172.20.0.170', 41704)",0.00010228157043457031,68.4
"('172.20.0.170', 41988)",0.0007257461547851562,59.0
"('172.20.0.170', 41658)",0.0006656646728515625,65.9
"('172.20.0.170', 41690)",9.655952453613281e-05,65.0
"('172.20.0.170', 41708)",0.001146554946899414,63.2
"('172.20.0.170', 41722)",0.00463557243347168,62.2
"('172.20.0.170', 41724)",6.508827209472656e-05,63.2
"('172.20.0.170', 41730)",0.0012688636779785156,63.9
"('172.20.0.170', 41786)",8.535385131835938e-05,65.8
"('172.20.0.170', 41740)",0.00012946128845214844,65.8
"('172.20.0.170', 41748)",0.0005381107330322266,63.2
"('172.20.0.170', 41764)",0.0019192695617675781,64.9
"('172.20.0.170', 41802)",0.00024271011352539062,64.9
"('172.20.0.170', 41774)",0.00394749641418457,64.9
"('172.20.0.170', 41810)",0.0026154518127441406,63.2
"('172.20.0.170', 41814)",0.0014007091522216797,62.9
"('172.20.0.170', 41828)",0.00012493133544921875,62.2
"('172.20.0.170', 41842)",0.0010271072387695312,61.5
"('172.20.0.170', 41880)",0.00031256675720214844,62.5
"('172.20.0.170', 41856)",7.772445678710938e-05,62.5
"('172.20.0.170', 41866)",0.0004611015319824219,59.5
"('172.20.0.170', 41824)",9.560585021972656e-05,57.9
"('172.20.0.170', 41868)",7.271766662597656e-05,57.9
"('172.20.0.170', 41896)",0.0002551078796386719,59.0
"('172.20.0.170', 41940)",0.0013227462768554688,57.9
"('172.20.0.170', 41954)",0.0010976791381835938,56.8
"('172.20.0.170', 41894)",7.176399230957031e-05,56.8
"('172.20.0.170', 41956)",0.0004487037658691406,55.3
"('172.20.0.170', 41926)",0.0019071102142333984,57.9
"('172.20.0.170', 41626)",0.000400543212890625,70.0
"('172.20.0.170', 41962)",0.00011658668518066406,57.9
"('172.20.0.170', 41928)",0.00026798248291015625,57.9
"('172.20.0.170', 42016)",8.487701416015625e-05,59.0
"('172.20.0.170', 42042)",0.00010895729064941406,57.9
"('172.20.0.170', 42054)",0.0008809566497802734,57.9
"('172.20.0.170', 42000)",9.369850158691406e-05,57.9
"('172.20.0.170', 42014)",7.557868957519531e-05,56.8
"('172.20.0.170', 42030)",7.128715515136719e-05,56.8
"('172.20.0.170', 41966)",0.00010275840759277344,59.0
"('172.20.0.170', 41638)",8.177757263183594e-05,66.7
"('172.20.0.170', 41978)",0.00038695335388183594,58.5
"('172.20.0.170', 42288)",0.0005125999450683594,68.3
"('172.20.0.170', 42082)",0.0007724761962890625,61.5
"('172.20.0.170', 42066)",6.628036499023438e-05,60.5
"('172.20.0.170', 42158)",0.00033855438232421875,59.0
"('172.20.0.170', 42144)",0.0016560554504394531,61.5
"('172.20.0.170', 42084)",0.00075531005859375,60.0
"('172.20.0.170', 42108)",0.0014083385467529297,61.5
"('172.20.0.170', 42094)",8.153915405273438e-05,60.5
"('172.20.0.170', 42116)",0.0011315345764160156,61.5
"('172.20.0.170', 42124)",7.390975952148438e-05,61.5
"('172.20.0.170', 42118)",6.914138793945312e-05,61.9
"('172.20.0.170', 42134)",0.0007677078247070312,62.8
"('172.20.0.170', 42352)",0.000102996826171875,72.1
"('172.20.0.170', 42136)",0.00012803077697753906,63.4
"('172.20.0.170', 42162)",8.392333984375e-05,63.4
"('172.20.0.170', 42166)",6.961822509765625e-05,63.4
"('172.20.0.170', 42212)",0.0004870891571044922,61.5
"('172.20.0.170', 42214)",0.00042557716369628906,63.4
"('172.20.0.170', 42182)",8.273124694824219e-05,65.9
"('172.20.0.170', 42222)",0.0045778751373291016,65.9
"('172.20.0.170', 42198)",0.00018858909606933594,65.1
"('172.20.0.170', 42176)",7.82012939453125e-05,65.1
"('172.20.0.170', 42236)",9.632110595703125e-05,66.7
"('172.20.0.170', 42252)",0.00045680999755859375,67.4
"('172.20.0.170', 42226)",0.0010945796966552734,65.9
"('172.20.0.170', 42232)",7.009506225585938e-05,66.7
"('172.20.0.170', 42338)",0.00010633468627929688,66.7
"('172.20.0.170', 42350)",0.0009694099426269531,68.3
"('172.20.0.170', 42274)",8.249282836914062e-05,69.0
"('172.20.0.170', 42056)",0.0005972385406494141,59.0
"('172.20.0.170', 42304)",0.0015151500701904297,66.7
"('172.20.0.170', 42316)",0.0009348392486572266,71.4
"('172.20.0.170', 42130)",0.0008740425109863281,64.3
"('172.20.0.170', 42382)",0.0007300376892089844,71.4
"('172.20.0.170', 42336)",0.0009617805480957031,71.4
"('172.20.0.170', 42370)",0.000591278076171875,72.5
"('172.20.0.170', 42174)",0.0019469261169433594,70.7
"('172.20.0.170', 42354)",0.00011348724365234375,70.7
"('172.20.0.170', 42366)",0.0001239776611328125,70.7
"('172.20.0.170', 42372)",8.821487426757812e-05,73.2
"('172.20.0.170', 42396)",7.343292236328125e-05,73.2
"('172.20.0.170', 42436)",0.0004858970642089844,70.7
"('172.20.0.170', 42376)",8.130073547363281e-05,70.7
"('172.20.0.170', 42410)",0.001462697982788086,71.8
"('172.20.0.170', 42384)",0.00016951560974121094,72.5
"('172.20.0.170', 42262)",0.0002818107604980469,71.1
"('172.20.0.170', 42320)",0.00029659271240234375,72.5
"('172.20.0.170', 42424)",8.249282836914062e-05,22.5
"('172.20.0.170', 42452)",0.0009379386901855469,20.5
"('172.20.0.170', 42464)",0.0001220703125,20.5
"('172.20.0.170', 42456)",0.0001227855682373047,18.4
"('172.20.0.170', 42412)",5.745887756347656e-05,18.4
